,first_dice,second_dice,board_type
0,6,4,hi
1,4,6,hi
2,6,4,hi
3,2,6,mid
4,3,2,lo
5,5,4,hi
6,2,5,mid
7,5,1,mid
8,6,5,hi
9,5,2,mid
