,first_dice,second_dice,board_type
0,1,4,lo
1,5,5,hi
2,1,3,lo
3,3,3,mid
4,3,2,lo
5,3,2,lo
6,2,6,mid
7,2,2,lo
8,4,4,mid
9,3,6,hi
