,first_dice,second_dice,board_type
0,3,5,mid
1,1,2,lo
2,5,5,hi
3,3,1,lo
4,5,4,hi
5,5,6,hi
6,1,2,lo
7,2,6,mid
8,6,6,hi
9,5,5,hi
