,first_dice,second_dice,board_type
0,3,5,mid
1,5,5,hi
2,6,6,hi
3,2,2,lo
4,3,3,mid
5,3,5,mid
6,5,2,mid
7,1,2,lo
8,6,1,mid
9,1,1,lo
