,first_dice,second_dice,board_type
0,3,4,mid
1,6,5,hi
2,5,2,mid
3,2,5,mid
4,1,1,lo
5,6,4,hi
6,5,1,mid
7,1,6,mid
8,1,5,mid
9,2,4,mid
