,first_dice,second_dice,board_type
0,5,6,hi
1,6,4,hi
2,6,6,hi
3,6,1,mid
4,2,3,lo
5,1,6,mid
6,4,4,mid
7,5,5,hi
8,1,1,lo
9,2,6,mid
